AccountID,Type,BillingState,BillingCountry,AccountSource,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c
0012o00002h2atI,Partner,al qahirah,egypt,Marketing,Partner,0.0,101-1000,Consulting & Business Services,false,EMEA W,Middle East,0.0,114.0,50.0,0.0,0.0,false,false
0012o00002h2eTW,Standard,BARCELONA,Spain,,Business,0.0,101-1000,Insurance,true,EMEA W,Mediterranean,0.0,1.0,100.0,0.0,0.0,false,false
0012o00002h2hYh,Standard,california,Germany,,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,0.0,0.0,0.0,0.0,false,false
0012o00002h2ck1,Standard,Athens,Greece,Marketing,Business,0.0,5001-10.000,"Telecommunications, Media & Entertainment",true,EMEA W,Mediterranean,0.0,2.0,100.0,0.0,0.0,false,false
0012o00002h2b8L,Standard,ZUG,Germany,Marketing,Business,0.0,101-1000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,4.0,75.0,0.0,0.0,false,false
0012o00002h2gwu,Standard,,germany,Marketing,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,1.0,0.0,0.0,0.0,false,false
0012o00002h2eAs,Partner,belgrade,serbia,Community,Partner,0.0,21-100,Software & Technology,false,EMEA W,RoW - E Europe,0.0,67.0,100.0,0.0,0.0,false,false
0012o00002i7QZh,Standard,,,,Business,0.0,,,false,,,0.0,0.0,0.0,0.0,0.0,false,false
0012o00002i7QZo,Standard,wisconsin,united states,Marketing,Business,0.0,1001-5000,Consulting & Business Services,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,317.0,50.0,50.0,2.0,false,false
0012o00002h2dZx,Standard,delhi,india,Marketing,Business,0.0,21-100,,false,APAC,RoW - APAC (Other),0.0,6.0,0.0,0.0,0.0,false,false
0012o00002i7QZk,Standard,pennsylvania,united states,Marketing,Business,0.0,1001-5000,Software & Technology,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,656.0,100.0,50.0,14.0,false,false
0012o00002i7QZj,Standard,,,,Business,0.0,,,false,,,0.0,1.0,0.0,0.0,0.0,false,false
0012o00002i7QZp,Standard,Texas,United States,Marketing,Business,0.0,10.000+,Utilities,false,NA - Enterprise,NA - South - Enterprise,0.0,79.0,100.0,100.0,0.0,false,false
0012o00002i7QZu,Standard,,,,Business,0.0,,,false,,,0.0,55.0,0.0,0.0,2.0,false,false
0012o00002h34Kp,Standard,Tamil Nadu,United Arab Emirates,SDR,Business,0.0,1001-5000,Banking & Financial Services,false,EMEA W,Middle East,0.0,3.0,100.0,50.0,0.0,false,false
0012o00002i7QZi,Standard,QUEBEC,Canada,,Business,0.0,10.000+,Retail,false,NA - Enterprise,NA - Canada - Enterprise,0.0,88.0,50.0,100.0,0.0,false,false
0012o00002i7QZn,Standard,Minnesota,United States,,Business,0.0,10.000+,Banking & Financial Services,false,NA - Enterprise,NA - Central Enterprise,0.0,27.0,100.0,100.0,5.0,false,false
0012o00002h2hCF,Standard,nordrhein-westfalen,germany,Marketing,Business,0.0,21-100,Software & Technology,false,DACH,DACH - Whitepatch <5K,0.0,2.0,100.0,0.0,0.0,false,false
0012o00002h2xdg,Partner,,Colombia,,Partner,0.0,1001-5000,Software & Technology,true,N/A,RoW - LATAM,0.0,26.0,100.0,50.0,0.0,false,false
0012o00002h2xeF,Standard,PARMA,Italy,,Business,0.0,1001-5000,Banking & Financial Services,true,EMEA W,Mediterranean,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002h2hlH,Standard,Bavaria,Germany,Marketing,Business,0.0,101-1000,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,1.0,50.0,0.0,0.0,false,false
0012o00002h30fA,Standard,overijssel,netherlands,Marketing,Business,0.0,21-100,Software & Technology,false,EMEA W,Benelux - Software & Consulting,0.0,8.0,100.0,0.0,3.0,false,false
0012o00002i7QaP,Standard,Tamil Nadu,India,,Business,0.0,Less than 20,,false,APAC,RoW - APAC (Other),0.0,0.0,0.0,0.0,0.0,false,false
0012o00002h2ck2,Standard,kentriki makedonia,Greece,Zoominfo,Business,0.0,1001-5000,Manufacturing,true,EMEA W,Mediterranean,0.0,3.0,50.0,50.0,0.0,false,false
0012o00002h2cxR,Standard,roma,italy,Marketing,Business,0.0,Less than 20,,false,EMEA W,Mediterranean,0.0,10.0,0.0,0.0,0.0,false,false
0012o00002h2e3c,Standard,,united kingdom,Marketing,Business,0.0,Less than 20,,false,EMEA N,UKI - Software & Technology,0.0,30.0,0.0,0.0,0.0,false,false
0012o00002h2hcj,Standard,,germany,,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,2.0,0.0,0.0,0.0,false,false
0012o00002i7QZs,Partner,MA,United States,,Partner,0.0,21-100,Software & Technology,false,,,0.0,0.0,100.0,0.0,0.0,false,false
0012o00002sPFz4,Standard,Illinois,United States,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002h2flD,Partner,,Germany,Marketing,Partner,0.0,21-100,Consulting & Business Services,false,DACH,N/A,0.0,119.0,50.0,0.0,0.0,false,false
0012o00002h2hwZ,Standard,zurich,switzerland,,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,5.0,75.0,50.0,0.0,false,false
0012o00002h2ibt,Standard,rheinland-pfalz,germany,,Business,0.0,101-1000,Insurance,false,DACH,DACH - Insurance <5K,0.0,3.0,100.0,0.0,0.0,false,false
0012o00002h2j2y,Standard,North Rhine-Westphalia,Germany,Zoominfo,Business,0.0,10.000+,Utilities,false,DACH,DACH - Utilities,0.0,27.0,100.0,100.0,0.0,false,false
0012o00002h2haY,Standard,,Switzerland,,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,208.0,0.0,0.0,0.0,false,false
0012o00002h2zys,Standard,zurich,switzerland,SDR,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,0.0,0.0,0.0,0.0,false,false
