AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002h2bwC,Standard,District of Columbia,Netherlands,Business,0.0,1001-5000,Automotive,False,EMEA W,Benelux - Manufacturing,0.0,0.0,50.0,50.0,3.0,False,False,,False
0012o00002h2bQA,Standard,abu dhabi,United Arab Emirates,Business,0.0,10.000+,Banking & Financial Services,False,EMEA W,Middle East,0.0,12.0,100.0,100.0,3.0,False,False,Marketing,False
0012o00002h2ayC,Standard,England,United kingdom,Business,0.0,Less than 20,Software & Technology,False,EMEA N,UKI - Software & Technology,0.0,3.0,100.0,0.0,3.0,False,False,,False
0012o00002h2gPB,Standard,valencia,spain,Business,0.0,21-100,Software & Technology,False,EMEA W,Mediterranean,0.0,33.0,100.0,0.0,3.0,False,False,,False
0012o00002h2dbF,Partner,new south wales,Australia,Partner,0.0,101-1000,Software & Technology,False,APAC,RoW - APAC (Prio),0.0,37.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002h2dLM,Standard,South Carolina,United States,Business,0.0,1001-5000,Manufacturing,False,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,4.0,50.0,50.0,3.0,False,False,Zoominfo,False
0012o00002h2bI6,Standard,makkah al mukarramah,Saudi Arabia,Business,0.0,1001-5000,Banking & Financial Services,False,EMEA W,Middle East,0.0,1.0,100.0,50.0,6.0,False,False,Marketing,False
0012o00002h2eB7,Standard,New Mexico,United States,Business,0.0,10.000+,"Public Sector, Government, Education",False,NA - Enterprise,NA - South - Enterprise,0.0,17.0,0.0,100.0,3.0,False,False,Marketing,False
0012o00002i7QZy,Standard,Washington,United States,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",False,NA - Enterprise,NA - West Enterprise,0.0,165.0,100.0,100.0,6.0,False,False,Marketing,False
0012o00002h2azP,Standard,Beirut,Lebanon,Business,0.0,21-100,,False,EMEA W,Middle East,0.0,0.0,0.0,0.0,3.0,False,False,,False
0012o00002h2iDu,Standard,texas,united states,Business,0.0,10.000+,Automotive,False,NA - Enterprise,NA - South - Enterprise,0.0,5.0,50.0,100.0,4.0,False,False,Marketing,False
0012o00002h2i7S,Standard,ciudad de mexico,mexico,Business,0.0,Less than 20,,False,NA - Corporate & LATAM,RoW - LATAM,0.0,5.0,0.0,0.0,3.0,False,False,,False
0012o00002i7Qa4,Standard,California,United States,Business,0.0,1001-5000,Other,False,NA - Corporate & LATAM,NA - West Corporate,0.0,1.0,0.0,50.0,7.0,False,False,Marketing,False
0012o00002h2dKP,Standard,new york,united states,Business,0.0,Less than 20,,False,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,2.0,0.0,0.0,3.0,False,False,,False
0012o00002h2hCG,Standard,bayern,Switzerland,Business,0.0,21-100,Automotive,False,DACH,DACH - Automotive,0.0,44.0,50.0,0.0,3.0,False,False,,False
0012o00002h2icH,Standard,uttar pradesh,india,Business,0.0,Less than 20,Software & Technology,False,APAC,RoW - APAC (Other),0.0,6.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Qa3,Standard,South Carolina,United States,Business,0.0,1001-5000,"Telecommunications, Media & Entertainment",False,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,4.0,100.0,50.0,3.0,False,False,,False
0012o00002h2jGg,Standard,maryland,united states,Business,0.0,101-1000,Software & Technology,False,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,2.0,100.0,0.0,3.0,False,False,Marketing,False
